Lição,Aplicação,Crianças,Data,História,Lição Casa,Memorização,Observações e Sugestões,Professores,Tema,Texto base,Visitantes
Lição 2,Refletir a imagem de Deus; nos tornarmos representantes de Deus.,,8 de fevereiro de 2026,"Gênesis, a criação e o poder da Palavra de Deus",,,"Yumi não estava presente nos cartazes da sala. Solicito que seu nome seja incluso com um cartaz (como os demais alunos). Ela tb relatou que não tinha Bíblia. Demos uma das que tínhamos no armário (havíamos comprado ano passado). ",Roberta e auxiliar Ricardo,Criação,,Não houve
Lição 3,"Mostrar que Deus é um Deus de ordem e propósito, e que isso também deve se refletir na vida deles. Assim como diferenciar o descanso do dia a dia com o descanso do Dia do Senhor.",,22 de fevereiro de 2026,"Preparo, organização na criação e descanso",Licao 1 e Lição 3,Salmo 147.4,,Pang e Fernanda,Criação,,
Lição 4 - Água da vida,"Viver com a consciência que procuramos sentido e completude ",,1 de março de 2026,"A água, na Bíblia, mostra como Deus é quem sustenta e cria a vida, desde o Éden até a redenção. Ela aparece em rios, fontes e cisternas como símbolo da vida abundante que vem d’Ele. E no centro de tudo está Jesus, que se apresenta como a água viva que realmente sacia a nossa sede espiritual.",Licao 1 e Lição 3,,,Roberta e Julia,Criação,,
